date,sport,distance_km,duration_min,avg_hr
2026-08-01,Run,5.2,29,151
2026-08-02,Bike,32.4,68,142
2026-08-03,Swim,2.1,45,138
2026-08-05,Run,8.0,46,155
2026-08-06,Bike,45.2,94,145
2026-08-07,Swim,2.5,52,140
2026-08-09,Run,10.5,61,158
2026-08-10,Bike,38.6,78,139
2026-08-11,Swim,2.2,47,136
2026-08-12,Run,6.3,35,149
2026-08-13,Bike,52.8,108,146
2026-08-15,Swim,3.0,64,142
2026-08-16,Run,12.4,70,157
2026-08-17,Bike,44.5,89,141
2026-08-18,Swim,2.4,50,139
2026-08-19,Run,7.1,40,152
2026-08-20,Bike,61.3,124,148
2026-08-22,Swim,3.2,68,143
2026-08-23,Run,14.2,81,160
2026-08-24,Bike,48.7,97,144
2026-08-25,Swim,2.6,55,137
2026-08-26,Run,6.8,38,150
2026-08-27,Bike,67.4,135,151
2026-08-29,Swim,3.5,73,145
2026-08-30,Run,15.1,86,162
2026-08-31,Bike,54.2,108,146
2026-09-01,Swim,2.8,59,140
2026-09-02,Run,7.5,42,153
2026-09-03,Bike,72.1,143,152
2026-09-05,Swim,3.6,76,147
2026-09-06,Run,16.3,92,164
